,station,lat,lon
4,54236,42.25,122.32
5,54237,42.02,121.39
6,54243,42.45,124.08
7,54254,42.32,124.03
8,54259,42.06,124.57
9,54260,42.54,125.08
10,54266,42.32,125.38
11,54324,41.33,120.27
12,54326,41.23,119.42
13,54333,41.59,122.48
14,54334,41.31,121.14
15,54335,41.41,122.01
16,54337,41.08,121.07
17,54339,41.07,122.55
18,54342,41.46,123.26
19,54346,41.19,123.47
20,54349,41.18,124.17
21,54351,41.54,124.03
22,54353,41.44,125.03
23,54365,41.16,125.21
26,54452,40.48,119.49
27,54454,40.21,120.21
28,54455,40.37,120.44
29,54470,40.59,122.04
30,54471,40.4,122.12
31,54472,40.53,122.43
32,54476,40.1,122.09
33,54486,40.17,123.17
34,54493,40.43,124.47
35,54497,40.03,124.2
37,54563,39.44,121.45
38,54579,39.16,122.35
39,54584,39.41,123.02
40,54660,38.51,121.14
41,54662,38.54,121.38
